character.id;actor.id
1;9
2;13
3;12
4;5
5;13
6;6
7;2
8;3
9;13
10;13
11;2
12;3
13;12
14;10
15;5
16;13
17;11
18;1
19;8
20;7
20;13
21;12
22;15
23;8
24;8
25;6
26;6
27;2
28;13
29;13
30;12
31;10
31;12
32;12
33;8
34;10
35;14
36;14
37;8
38;14
39;11
40;10
41;11
42;13
43;11
44;6
45;13
45;3
46;16
47;12
48;6
49;5
50;1
51;2
52;4
53;2
54;11
55;8
56;8
57;9
58;9
59;13
60;13
61;11
62;13
63;9
63;1
64;2
65;17
66;4
67;6
68;4
69;3
70;1
71;1
72;2
73;9
74;9
75;13
76;6
76;7
76;13
76;8
76;11
76;1
76;2
76;3
76;4
76;10
76;12
76;5
76;9
76;14
77;6
78;8
79;4
80;3
81;7
82;9
83;13
84;5
85;5
86;1
86;2
86;3
86;4
87;1
87;2
88;10
89;7
90;10
91;11
92;8
93;5
94;7
95;3
96;2
97;11
98;11
98;8
98;4
98;1
98;13
98;3
99;4
100;2
100;3
100;5
101;3
102;11
103;17
104;6
105;13
106;4
107;7
108;6
109;14
110;12
111;10
112;1
112;2
112;3
112;4
112;5
112;6
112;7
112;8
112;9
112;10
112;11
112;12
112;13
112;14
113;2
114;12
115;5
116;7
117;14
118;1
119;1
120;10
121;2
122;8
123;6
124;12
125;13
126;1
127;7
128;11
129;6
130;13
130;6
130;7
131;13
132;9
132;13
132;7
132;6
133;6
133;7
134;13
134;8
135;9
136;7
137;10
138;13
138;6
138;7
139;2
140;17
141;9
142;4
143;4
144;7
145;17
146;17
147;17
148;17
149;17
150;7
151;9
152;7
153;13
153;6
154;11
155;14
156;12
157;2
157;4
157;9
158;10
159;11
160;13
160;8
