dialog.file;dialog.who;dialog.from;dialog.to;dialog.text
INFO_FINDNPC_NC_GORN_15_00.WAV;Inne;Bezimienny;Inne;Gdzie mogę znaleźć Gorna?
INFO_FINDNPC_NC_GORN_06_01.WAV;Inne;Inne;Bezimienny;Po wejściu do jaskini trzymaj się prawej ściany. Znajdziesz tam kilka chat. Gorn mieszka w jednej z nich.
INFO_FINDNPC_NC_GORN_07_01.WAV;Inne;Inne;Bezimienny;Po wejściu do jaskini trzymaj się prawej ściany. Znajdziesz tam kilka chat. Gorn mieszka w jednej z nich.
INFO_FINDNPC_NC_GORN_13_01.WAV;Inne;Inne;Bezimienny;Po wejściu do jaskini trzymaj się prawej ściany. Znajdziesz tam kilka chat. Gorn mieszka w jednej z nich.
INFO_FINDNPC_NC_GORN_08_01.WAV;Inne;Inne;Bezimienny;Po wejściu do jaskini trzymaj się prawej ściany. Znajdziesz tam kilka chat. Gorn mieszka w jednej z nich.
INFO_FINDNPC_NC_GORN_11_01.WAV;Inne;Inne;Bezimienny;Po wejściu do jaskini trzymaj się prawej ściany. Znajdziesz tam kilka chat. Gorn mieszka w jednej z nich.
INFO_FINDNPC_NC_LARES_15_00.WAV;Inne;Bezimienny;Inne;Gdzie mogę znaleźć Laresa?
INFO_FINDNPC_NC_LARES_06_01.WAV;Inne;Inne;Bezimienny;Na samym końcu jaskini, po lewej. Na pewno trafisz. Jak zatrzymają cię jego chłopcy, będziesz wiedział, że jesteś na miejscu.
INFO_FINDNPC_NC_LARES_07_01.WAV;Inne;Inne;Bezimienny;Na samym końcu jaskini, po lewej. Na pewno trafisz. Jak zatrzymają cię jego chłopcy, będziesz wiedział, że jesteś na miejscu.
INFO_FINDNPC_NC_LARES_13_01.WAV;Inne;Inne;Bezimienny;Na samym końcu jaskini, po lewej. Na pewno trafisz. Jak zatrzymają cię jego chłopcy, będziesz wiedział, że jesteś na miejscu.
INFO_FINDNPC_NC_LARES_08_01.WAV;Inne;Inne;Bezimienny;Na samym końcu jaskini, po lewej. Na pewno trafisz. Jak zatrzymają cię jego chłopcy, będziesz wiedział, że jesteś na miejscu.
